Device_ID,Location,Temperature,Date
1,Zwolle,91,2021/5/11/08:00:00
1,Zwolle,92,2021/5/12/08:00:00
1,Zwolle,95,2021/5/13/08:00:00
1,Zwolle,96,2021/5/14/08:00:00
1,Zwolle,98,2021/5/15/08:00:00
1,Zwolle,93,2021/5/16/08:00:00
1,Zwolle,97,2021/5/17/08:00:00
1,Zwolle,99,2021/5/18/08:00:00
1,Zwolle,91,2021/5/19/08:00:00
1,Zwolle,92,2021/5/20/08:00:00
1,Zwolle,95,2021/5/21/08:00:00
1,Zwolle,96,2021/5/22/08:00:00
1,Zwolle,98,2021/5/23/08:00:00
1,Zwolle,93,2021/5/24/08:00:00
1,Zwolle,97,2021/5/25/08:00:00
1,Zwolle,99,2021/5/26/08:00:00
1,Zwolle,91,2021/5/27/08:00:00
1,Zwolle,92,2021/5/28/08:00:00
1,Zwolle,95,2021/5/29/08:00:00
1,Zwolle,96,2021/5/30/08:00:00
1,Zwolle,98,2021/5/31/08:00:00
1,Zwolle,93,2021/6/01/08:00:00
1,Zwolle,97,2021/6/02/08:00:00
1,Zwolle,99,2021/6/03/08:00:00
1,Zwolle,91,2021/6/04/08:00:00
1,Zwolle,92,2021/6/05/08:00:00
1,Zwolle,95,2021/6/06/08:00:00
1,Zwolle,96,2021/6/07/08:00:00
1,Zwolle,98,2021/6/08/08:00:00
1,Zwolle,93,2021/6/09/08:00:00
1,Zwolle,97,2021/6/10/08:00:00
1,Zwolle,99,2021/6/11/08:00:00
1,Zwolle,91,2021/6/12/08:00:00
1,Zwolle,92,2021/6/13/08:00:00
1,Zwolle,95,2021/6/14/08:00:00
1,Zwolle,96,2021/6/15/08:00:00
1,Zwolle,98,2021/6/16/08:00:00
1,Zwolle,93,2021/6/17/08:00:00
1,Zwolle,97,2021/6/18/08:00:00
1,Zwolle,99,2021/6/19/08:00:00
2,Meppel,50,2021/5/25/08:00:00
2,Meppel,51,2021/5/26/08:00:00
2,Meppel,60,2021/5/27/08:00:00
2,Meppel,62,2021/5/28/08:00:00
2,Meppel,66,2021/5/29/08:00:00
2,Meppel,67,2021/5/30/08:00:00
2,Meppel,69,2021/5/31/08:00:00
2,Meppel,69,2021/6/01/08:00:00
2,Meppel,50,2021/6/02/08:00:00
2,Meppel,51,2021/6/03/08:00:00
2,Meppel,60,2021/6/04/08:00:00
2,Meppel,62,2021/6/05/08:00:00
2,Meppel,66,2021/6/06/08:00:00
2,Meppel,67,2021/6/07/08:00:00
2,Meppel,69,2021/6/08/08:00:00
2,Meppel,69,2021/6/09/08:00:00
2,Meppel,50,2021/6/10/08:00:00
2,Meppel,51,2021/6/11/08:00:00
2,Meppel,60,2021/6/12/08:00:00
2,Meppel,62,2021/6/13/08:00:00
2,Meppel,66,2021/6/14/08:00:00
2,Meppel,67,2021/6/15/08:00:00
2,Meppel,69,2021/6/16/08:00:00
2,Meppel,69,2021/6/17/08:00:00
AM1,Amsterdam,85,2021/5/25/15:00:00
AM1,Amsterdam,90,2021/5/25/09:00:00
AM1,Amsterdam,90,2021/5/25/12:00:00
AM1,Amsterdam,95,2021/5/25/19:00:00
AM1,Amsterdam,92,2021/5/25/11:00:00
AM1,Amsterdam,90,2021/6/25/13:00:00
AM1,Amsterdam,96,2021/6/25/07:00:00
AM1,Amsterdam,95,2021/6/25/08:00:00
AM1,Amsterdam,92,2021/6/25/10:00:00
AM1,Amsterdam,93,2021/6/26/19:00:00
AM1,Amsterdam,88,2021/6/26/20:00:00
AM1,Amsterdam,86,2021/6/26/18:00:00
AM1,Amsterdam,90,2021/6/26/17:00:00
AM1,Amsterdam,85,2021/5/26/16:00:00
AM1,Amsterdam,90,2021/5/26/15:00:00
AM1,Amsterdam,90,2021/5/26/09:00:00
AM1,Amsterdam,95,2021/5/27/19:00:00
AM1,Amsterdam,92,2021/5/27/11:00:00
AM1,Amsterdam,90,2021/6/27/10:00:00
AM1,Amsterdam,96,2021/6/27/12:00:00
AM1,Amsterdam,95,2021/6/27/13:00:00
AM1,Amsterdam,92,2021/6/28/09:00:00
AM1,Amsterdam,93,2021/6/28/19:00:00
AM1,Amsterdam,88,2021/6/28/20:00:00
AM1,Amsterdam,86,2021/6/28/10:00:00
AM1,Amsterdam,90,2021/6/28/13:00:00
AM1,Amsterdam,85,2021/5/29/15:00:00
AM1,Amsterdam,90,2021/5/29/12:00:00
AM1,Amsterdam,90,2021/5/29/14:00:00
AM1,Amsterdam,95,2021/5/29/19:00:00
AM1,Amsterdam,92,2021/5/29/11:00:00
AM1,Amsterdam,90,2021/6/29/09:00:00
AM1,Amsterdam,96,2021/6/30/10:00:00
AM1,Amsterdam,95,2021/6/30/12:00:00
AM1,Amsterdam,92,2021/6/30/13:00:00
AM1,Amsterdam,93,2021/6/30/14:00:00
AM1,Amsterdam,88,2021/5/31/20:00:00
AM1,Amsterdam,86,2021/5/31/10:00:00
AM1,Amsterdam,90,2021/5/31/09:00:00
AM1,Amsterdam,85,2021/5/31/15:00:00
AM1,Amsterdam,90,2021/5/31/12:00:00
AM1,Amsterdam,90,2021/5/31/14:00:00
AM1,Amsterdam,95,2021/5/31/19:00:00
AM1,Amsterdam,92,2021/5/31/11:00:00
AM1,Amsterdam,90,2021/6/01/10:00:00
AM1,Amsterdam,96,2021/6/01/09:00:00
AM1,Amsterdam,95,2021/6/01/08:00:00
AM1,Amsterdam,92,2021/6/01/06:00:00
AM1,Amsterdam,93,2021/6/02/19:00:00
AM1,Amsterdam,88,2021/6/02/20:00:00
AM1,Amsterdam,86,2021/6/02/10:00:00
AM1,Amsterdam,90,2021/6/02/14:00:00
AM1,Amsterdam,90,2021/6/03/13:00:00
AM1,Amsterdam,92,2021/6/03/10:00:00
AM1,Amsterdam,85,2021/6/03/11:00:00
AM1,Amsterdam,90,2021/6/03/09:00:00
AM1,Amsterdam,90,2021/6/04/14:00:00
AM1,Amsterdam,96,2021/6/04/11:00:00
AM1,Amsterdam,90,2021/6/04/09:00:00
AM1,Amsterdam,82,2021/6/04/07:00:00
AM1,Amsterdam,80,2021/6/05/12:00:00
AM1,Amsterdam,90,2021/6/05/08:00:00
AM1,Amsterdam,96,2021/6/05/10:00:00
AM1,Amsterdam,105,2021/6/05/13:00:00
AM1,Amsterdam,98,2021/6/05/09:00:00
AM1,Amsterdam,93,2021/6/06/12:00:00
AM1,Amsterdam,85,2021/6/06/15:00:00
AM1,Amsterdam,90,2021/6/06/10:00:00
AM1,Amsterdam,90,2021/6/06/09:00:00
AM1,Amsterdam,95,2021/6/07/19:00:00
AM1,Amsterdam,92,2021/6/07/11:00:00
AM1,Amsterdam,85,2021/6/07/15:00:00
AM1,Amsterdam,90,2021/6/07/09:00:00
AM1,Amsterdam,90,2021/6/08/06:00:00
AM1,Amsterdam,95,2021/6/08/19:00:00
AM1,Amsterdam,92,2021/6/08/11:00:00
AM1,Amsterdam,90,2021/6/08/09:00:00
AM1,Amsterdam,96,2021/6/08/11:00:00
AM1,Amsterdam,95,2021/6/09/09:00:00
AM1,Amsterdam,92,2021/6/09/10:00:00
AM1,Amsterdam,93,2021/6/09/11:00:00
AM1,Amsterdam,88,2021/6/09/20:00:00
AM1,Amsterdam,86,2021/6/09/21:00:00
AM1,Amsterdam,90,2021/6/09/22:00:00
AM1,Amsterdam,90,2021/6/10/09:00:00
AM1,Amsterdam,96,2021/6/10/10:00:00
AM1,Amsterdam,95,2021/6/10/11:00:00
AM1,Amsterdam,92,2021/6/10/12:00:00
AM1,Amsterdam,93,2021/6/11/19:00:00
AM1,Amsterdam,88,2021/6/11/20:00:00
AM1,Amsterdam,86,2021/6/11/10:00:00
AM1,Amsterdam,90,2021/6/11/13:00:00
AM1,Amsterdam,85,2021/6/12/15:00:00
AM1,Amsterdam,90,2021/6/12/09:00:00
AM1,Amsterdam,90,2021/6/12/10:00:00
AM1,Amsterdam,95,2021/6/12/19:00:00
AM1,Amsterdam,92,2021/6/12/11:00:00
AM1,Amsterdam,90,2021/6/13/09:00:00
AM1,Amsterdam,96,2021/6/13/10:00:00
AM1,Amsterdam,95,2021/6/13/11:00:00
AM1,Amsterdam,92,2021/6/13/12:00:00
AM1,Amsterdam,93,2021/6/13/19:00:00
AM1,Amsterdam,88,2021/6/13/20:00:00
AM1,Amsterdam,86,2021/6/14/09:00:00
AM1,Amsterdam,90,2021/6/14/10:00:00
AM1,Amsterdam,85,2021/6/14/15:00:00
AM1,Amsterdam,90,2021/6/14/11:00:00
AM1,Amsterdam,90,2021/6/14/12:00:00
AM1,Amsterdam,95,2021/6/14/19:00:00
AM1,Amsterdam,92,2021/6/14/11:00:00
AM1,Amsterdam,90,2021/6/15/09:00:00
AM1,Amsterdam,96,2021/6/15/10:00:00
AM1,Amsterdam,95,2021/6/15/12:00:00
AM1,Amsterdam,92,2021/6/15/13:00:00
AM1,Amsterdam,93,2021/6/15/19:00:00
AM1,Amsterdam,88,2021/6/16/20:00:00
AM1,Amsterdam,86,2021/6/16/09:00:00
AM1,Amsterdam,90,2021/6/16/10:00:00
